D_mnpio,d_estado,concatenadomnpioestado
Salvador Escalante,Michoacán de Ocampo,"Salvador Escalante , Michoacán de Ocampo"
Ario,Michoacán de Ocampo,"Ario , Michoacán de Ocampo"
La Huacana,Michoacán de Ocampo,"La Huacana , Michoacán de Ocampo"
Churumuco,Michoacán de Ocampo,"Churumuco , Michoacán de Ocampo"
Nocupétaro,Michoacán de Ocampo,"Nocupétaro , Michoacán de Ocampo"
Carácuaro,Michoacán de Ocampo,"Carácuaro , Michoacán de Ocampo"
Huetamo,Michoacán de Ocampo,"Huetamo , Michoacán de Ocampo"
San Lucas,Michoacán de Ocampo,"San Lucas , Michoacán de Ocampo"
Cuernavaca,Morelos,"Cuernavaca , Morelos"
Huitzilac,Morelos,"Huitzilac , Morelos"
Tepoztlán,Morelos,"Tepoztlán , Morelos"
Tlalnepantla,Morelos,"Tlalnepantla , Morelos"
Tlayacapan,Morelos,"Tlayacapan , Morelos"
Jiutepec,Morelos,"Jiutepec , Morelos"
Temixco,Morelos,"Temixco , Morelos"
Miacatlán,Morelos,"Miacatlán , Morelos"
Coatetelco,Morelos,"Coatetelco , Morelos"
Coatlán del Río,Morelos,"Coatlán del Río , Morelos"
Tetecala,Morelos,"Tetecala , Morelos"
Mazatepec,Morelos,"Mazatepec , Morelos"
Amacuzac,Morelos,"Amacuzac , Morelos"
Puente de Ixtla,Morelos,"Puente de Ixtla , Morelos"
Xoxocotla,Morelos,"Xoxocotla , Morelos"
Ayala,Morelos,"Ayala , Morelos"
Yautepec,Morelos,"Yautepec , Morelos"
Cuautla,Morelos,"Cuautla , Morelos"
Emiliano Zapata,Morelos,"Emiliano Zapata , Morelos"
Tlaltizapán de Zapata,Morelos,"Tlaltizapán de Zapata , Morelos"
Zacatepec,Morelos,"Zacatepec , Morelos"
Xochitepec,Morelos,"Xochitepec , Morelos"
Tetela del Volcán,Morelos,"Tetela del Volcán , Morelos"
Yecapixtla,Morelos,"Yecapixtla , Morelos"
Totolapan,Morelos,"Totolapan , Morelos"
Atlatlahucan,Morelos,"Atlatlahucan , Morelos"
Ocuituco,Morelos,"Ocuituco , Morelos"
Temoac,Morelos,"Temoac , Morelos"
Zacualpan de Amilpas,Morelos,"Zacualpan de Amilpas , Morelos"
Jojutla,Morelos,"Jojutla , Morelos"
Tepalcingo,Morelos,"Tepalcingo , Morelos"
Jonacatepec de Leandro Valle,Morelos,"Jonacatepec de Leandro Valle , Morelos"
Axochiapan,Morelos,"Axochiapan , Morelos"
Jantetelco,Morelos,"Jantetelco , Morelos"
Tlaquiltenango,Morelos,"Tlaquiltenango , Morelos"
Tepic,Nayarit,"Tepic , Nayarit"
Tuxpan,Nayarit,"Tuxpan , Nayarit"
Santiago Ixcuintla,Nayarit,"Santiago Ixcuintla , Nayarit"
Acaponeta,Nayarit,"Acaponeta , Nayarit"
Tecuala,Nayarit,"Tecuala , Nayarit"
Huajicori,Nayarit,"Huajicori , Nayarit"
Del Nayar,Nayarit,"Del Nayar , Nayarit"
La Yesca,Nayarit,"La Yesca , Nayarit"
Ruíz,Nayarit,"Ruíz , Nayarit"
Rosamorada,Nayarit,"Rosamorada , Nayarit"
Compostela,Nayarit,"Compostela , Nayarit"
Bahía de Banderas,Nayarit,"Bahía de Banderas , Nayarit"
San Blas,Nayarit,"San Blas , Nayarit"
Xalisco,Nayarit,"Xalisco , Nayarit"
San Pedro Lagunillas,Nayarit,"San Pedro Lagunillas , Nayarit"
Santa María del Oro,Nayarit,"Santa María del Oro , Nayarit"
Jala,Nayarit,"Jala , Nayarit"
Ahuacatlán,Nayarit,"Ahuacatlán , Nayarit"
Ixtlán del Río,Nayarit,"Ixtlán del Río , Nayarit"
Amatlán de Cañas,Nayarit,"Amatlán de Cañas , Nayarit"
Monterrey,Nuevo León,"Monterrey , Nuevo León"
Anáhuac,Nuevo León,"Anáhuac , Nuevo León"
Lampazos de Naranjo,Nuevo León,"Lampazos de Naranjo , Nuevo León"
Mina,Nuevo León,"Mina , Nuevo León"
Bustamante,Nuevo León,"Bustamante , Nuevo León"
Sabinas Hidalgo,Nuevo León,"Sabinas Hidalgo , Nuevo León"
Villaldama,Nuevo León,"Villaldama , Nuevo León"
Vallecillo,Nuevo León,"Vallecillo , Nuevo León"
Parás,Nuevo León,"Parás , Nuevo León"
Salinas Victoria,Nuevo León,"Salinas Victoria , Nuevo León"
Ciénega de Flores,Nuevo León,"Ciénega de Flores , Nuevo León"
Hidalgo,Nuevo León,"Hidalgo , Nuevo León"
Abasolo,Nuevo León,"Abasolo , Nuevo León"
Higueras,Nuevo León,"Higueras , Nuevo León"
General Zuazua,Nuevo León,"General Zuazua , Nuevo León"
Agualeguas,Nuevo León,"Agualeguas , Nuevo León"
General Treviño,Nuevo León,"General Treviño , Nuevo León"
Cerralvo,Nuevo León,"Cerralvo , Nuevo León"
Melchor Ocampo,Nuevo León,"Melchor Ocampo , Nuevo León"
García,Nuevo León,"García , Nuevo León"
General Escobedo,Nuevo León,"General Escobedo , Nuevo León"
Santa Catarina,Nuevo León,"Santa Catarina , Nuevo León"
San Pedro Garza García,Nuevo León,"San Pedro Garza García , Nuevo León"
San Nicolás de los Garza,Nuevo León,"San Nicolás de los Garza , Nuevo León"
El Carmen,Nuevo León,"El Carmen , Nuevo León"
Apodaca,Nuevo León,"Apodaca , Nuevo León"
Pesquería,Nuevo León,"Pesquería , Nuevo León"
Marín,Nuevo León,"Marín , Nuevo León"
Doctor González,Nuevo León,"Doctor González , Nuevo León"
Los Ramones,Nuevo León,"Los Ramones , Nuevo León"
Los Herreras,Nuevo León,"Los Herreras , Nuevo León"
Los Aldamas,Nuevo León,"Los Aldamas , Nuevo León"
Doctor Coss,Nuevo León,"Doctor Coss , Nuevo León"
General Bravo,Nuevo León,"General Bravo , Nuevo León"
China,Nuevo León,"China , Nuevo León"
Guadalupe,Nuevo León,"Guadalupe , Nuevo León"
Juárez,Nuevo León,"Juárez , Nuevo León"
Santiago,Nuevo León,"Santiago , Nuevo León"
Allende,Nuevo León,"Allende , Nuevo León"
General Terán,Nuevo León,"General Terán , Nuevo León"
Cadereyta Jiménez,Nuevo León,"Cadereyta Jiménez , Nuevo León"
Montemorelos,Nuevo León,"Montemorelos , Nuevo León"
Rayones,Nuevo León,"Rayones , Nuevo León"
Linares,Nuevo León,"Linares , Nuevo León"
Iturbide,Nuevo León,"Iturbide , Nuevo León"
Galeana,Nuevo León,"Galeana , Nuevo León"
Hualahuises,Nuevo León,"Hualahuises , Nuevo León"
Doctor Arroyo,Nuevo León,"Doctor Arroyo , Nuevo León"
Aramberri,Nuevo León,"Aramberri , Nuevo León"
General Zaragoza,Nuevo León,"General Zaragoza , Nuevo León"
Mier y Noriega,Nuevo León,"Mier y Noriega , Nuevo León"
Oaxaca de Juárez,Oaxaca,"Oaxaca de Juárez , Oaxaca"
Villa de Etla,Oaxaca,"Villa de Etla , Oaxaca"
San Juan Bautista Atatlahuca,Oaxaca,"San Juan Bautista Atatlahuca , Oaxaca"
San Jerónimo Sosola,Oaxaca,"San Jerónimo Sosola , Oaxaca"
San Juan Bautista Jayacatlán,Oaxaca,"San Juan Bautista Jayacatlán , Oaxaca"
San Francisco Telixtlahuaca,Oaxaca,"San Francisco Telixtlahuaca , Oaxaca"
Santiago Tenango,Oaxaca,"Santiago Tenango , Oaxaca"
San Pablo Huitzo,Oaxaca,"San Pablo Huitzo , Oaxaca"
San Juan del Estado,Oaxaca,"San Juan del Estado , Oaxaca"
Magdalena Apasco,Oaxaca,"Magdalena Apasco , Oaxaca"
Santiago Suchilquitongo,Oaxaca,"Santiago Suchilquitongo , Oaxaca"
San Juan Bautista Guelache,Oaxaca,"San Juan Bautista Guelache , Oaxaca"
Reyes Etla,Oaxaca,"Reyes Etla , Oaxaca"
Nazareno Etla,Oaxaca,"Nazareno Etla , Oaxaca"
San Andrés Zautla,Oaxaca,"San Andrés Zautla , Oaxaca"
San Agustín Etla,Oaxaca,"San Agustín Etla , Oaxaca"
Soledad Etla,Oaxaca,"Soledad Etla , Oaxaca"
Santo Tomás Mazaltepec,Oaxaca,"Santo Tomás Mazaltepec , Oaxaca"
Guadalupe Etla,Oaxaca,"Guadalupe Etla , Oaxaca"
San Pablo Etla,Oaxaca,"San Pablo Etla , Oaxaca"
San Felipe Tejalápam,Oaxaca,"San Felipe Tejalápam , Oaxaca"
San Lorenzo Cacaotepec,Oaxaca,"San Lorenzo Cacaotepec , Oaxaca"
Santa María Peñoles,Oaxaca,"Santa María Peñoles , Oaxaca"
Santiago Tlazoyaltepec,Oaxaca,"Santiago Tlazoyaltepec , Oaxaca"
Tlalixtac de Cabrera,Oaxaca,"Tlalixtac de Cabrera , Oaxaca"
San Jacinto Amilpas,Oaxaca,"San Jacinto Amilpas , Oaxaca"
San Andrés Huayápam,Oaxaca,"San Andrés Huayápam , Oaxaca"
San Agustín Yatareni,Oaxaca,"San Agustín Yatareni , Oaxaca"
Santo Domingo Tomaltepec,Oaxaca,"Santo Domingo Tomaltepec , Oaxaca"
Santa María del Tule,Oaxaca,"Santa María del Tule , Oaxaca"
San Juan Bautista Tuxtepec,Oaxaca,"San Juan Bautista Tuxtepec , Oaxaca"
Loma Bonita,Oaxaca,"Loma Bonita , Oaxaca"
San José Independencia,Oaxaca,"San José Independencia , Oaxaca"
Cosolapa,Oaxaca,"Cosolapa , Oaxaca"
Acatlán de Pérez Figueroa,Oaxaca,"Acatlán de Pérez Figueroa , Oaxaca"
San Miguel Soyaltepec,Oaxaca,"San Miguel Soyaltepec , Oaxaca"
Ayotzintepec,Oaxaca,"Ayotzintepec , Oaxaca"
San Pedro Ixcatlán,Oaxaca,"San Pedro Ixcatlán , Oaxaca"
San José Chiltepec,Oaxaca,"San José Chiltepec , Oaxaca"
San Felipe Jalapa de Díaz,Oaxaca,"San Felipe Jalapa de Díaz , Oaxaca"
Santa María Jacatepec,Oaxaca,"Santa María Jacatepec , Oaxaca"
San Lucas Ojitlán,Oaxaca,"San Lucas Ojitlán , Oaxaca"
San Juan Bautista Valle Nacional,Oaxaca,"San Juan Bautista Valle Nacional , Oaxaca"
San Felipe Usila,Oaxaca,"San Felipe Usila , Oaxaca"
Huautla de Jiménez,Oaxaca,"Huautla de Jiménez , Oaxaca"
Santa María Chilchotla,Oaxaca,"Santa María Chilchotla , Oaxaca"
Santa Ana Ateixtlahuaca,Oaxaca,"Santa Ana Ateixtlahuaca , Oaxaca"
San Lorenzo Cuaunecuiltitla,Oaxaca,"San Lorenzo Cuaunecuiltitla , Oaxaca"
San Francisco Huehuetlán,Oaxaca,"San Francisco Huehuetlán , Oaxaca"
San Pedro Ocopetatillo,Oaxaca,"San Pedro Ocopetatillo , Oaxaca"
Santa Cruz Acatepec,Oaxaca,"Santa Cruz Acatepec , Oaxaca"
Eloxochitlán de Flores Magón,Oaxaca,"Eloxochitlán de Flores Magón , Oaxaca"
Santiago Texcalcingo,Oaxaca,"Santiago Texcalcingo , Oaxaca"
Teotitlán de Flores Magón,Oaxaca,"Teotitlán de Flores Magón , Oaxaca"
Santa María Teopoxco,Oaxaca,"Santa María Teopoxco , Oaxaca"
San Martín Toxpalan,Oaxaca,"San Martín Toxpalan , Oaxaca"
San Jerónimo Tecóatl,Oaxaca,"San Jerónimo Tecóatl , Oaxaca"
Santa María la Asunción,Oaxaca,"Santa María la Asunción , Oaxaca"
Huautepec,Oaxaca,"Huautepec , Oaxaca"
San Juan Coatzóspam,Oaxaca,"San Juan Coatzóspam , Oaxaca"
San Lucas Zoquiápam,Oaxaca,"San Lucas Zoquiápam , Oaxaca"
San Antonio Nanahuatípam,Oaxaca,"San Antonio Nanahuatípam , Oaxaca"
San José Tenango,Oaxaca,"San José Tenango , Oaxaca"
San Mateo Yoloxochitlán,Oaxaca,"San Mateo Yoloxochitlán , Oaxaca"
San Bartolomé Ayautla,Oaxaca,"San Bartolomé Ayautla , Oaxaca"
Mazatlán Villa de Flores,Oaxaca,"Mazatlán Villa de Flores , Oaxaca"
San Juan de los Cués,Oaxaca,"San Juan de los Cués , Oaxaca"
Santa María Tecomavaca,Oaxaca,"Santa María Tecomavaca , Oaxaca"
Santa María Ixcatlán,Oaxaca,"Santa María Ixcatlán , Oaxaca"
San Juan Bautista Cuicatlán,Oaxaca,"San Juan Bautista Cuicatlán , Oaxaca"
Cuyamecalco Villa de Zaragoza,Oaxaca,"Cuyamecalco Villa de Zaragoza , Oaxaca"
Santa Ana Cuauhtémoc,Oaxaca,"Santa Ana Cuauhtémoc , Oaxaca"
Chiquihuitlán de Benito Juárez,Oaxaca,"Chiquihuitlán de Benito Juárez , Oaxaca"
San Pedro Teutila,Oaxaca,"San Pedro Teutila , Oaxaca"
San Miguel Santa Flor,Oaxaca,"San Miguel Santa Flor , Oaxaca"
Santa María Tlalixtac,Oaxaca,"Santa María Tlalixtac , Oaxaca"
San Andrés Teotilálpam,Oaxaca,"San Andrés Teotilálpam , Oaxaca"
San Francisco Chapulapa,Oaxaca,"San Francisco Chapulapa , Oaxaca"
Concepción Pápalo,Oaxaca,"Concepción Pápalo , Oaxaca"
Santos Reyes Pápalo,Oaxaca,"Santos Reyes Pápalo , Oaxaca"
San Juan Bautista Tlacoatzintepec,Oaxaca,"San Juan Bautista Tlacoatzintepec , Oaxaca"
Santa María Pápalo,Oaxaca,"Santa María Pápalo , Oaxaca"
San Juan Tepeuxila,Oaxaca,"San Juan Tepeuxila , Oaxaca"
San Pedro Sochiápam,Oaxaca,"San Pedro Sochiápam , Oaxaca"
Valerio Trujano,Oaxaca,"Valerio Trujano , Oaxaca"
San Pedro Jocotipac,Oaxaca,"San Pedro Jocotipac , Oaxaca"
Santa María Texcatitlán,Oaxaca,"Santa María Texcatitlán , Oaxaca"
San Pedro Jaltepetongo,Oaxaca,"San Pedro Jaltepetongo , Oaxaca"
Santiago Nacaltepec,Oaxaca,"Santiago Nacaltepec , Oaxaca"
Natividad,Oaxaca,"Natividad , Oaxaca"
San Juan Quiotepec,Oaxaca,"San Juan Quiotepec , Oaxaca"
San Pedro Yólox,Oaxaca,"San Pedro Yólox , Oaxaca"
Santiago Comaltepec,Oaxaca,"Santiago Comaltepec , Oaxaca"
Abejones,Oaxaca,"Abejones , Oaxaca"
San Pablo Macuiltianguis,Oaxaca,"San Pablo Macuiltianguis , Oaxaca"
Ixtlán de Juárez,Oaxaca,"Ixtlán de Juárez , Oaxaca"
San Juan Atepec,Oaxaca,"San Juan Atepec , Oaxaca"
San Pedro Yaneri,Oaxaca,"San Pedro Yaneri , Oaxaca"
San Miguel Aloápam,Oaxaca,"San Miguel Aloápam , Oaxaca"
Teococuilco de Marcos Pérez,Oaxaca,"Teococuilco de Marcos Pérez , Oaxaca"
Santa Ana Yareni,Oaxaca,"Santa Ana Yareni , Oaxaca"
San Juan Evangelista Analco,Oaxaca,"San Juan Evangelista Analco , Oaxaca"
Santa María Jaltianguis,Oaxaca,"Santa María Jaltianguis , Oaxaca"
San Miguel del Río,Oaxaca,"San Miguel del Río , Oaxaca"
San Juan Chicomezúchil,Oaxaca,"San Juan Chicomezúchil , Oaxaca"
Capulálpam de Méndez,Oaxaca,"Capulálpam de Méndez , Oaxaca"
Nuevo Zoquiápam,Oaxaca,"Nuevo Zoquiápam , Oaxaca"
Santiago Xiacuí,Oaxaca,"Santiago Xiacuí , Oaxaca"
Guelatao de Juárez,Oaxaca,"Guelatao de Juárez , Oaxaca"
Santa Catarina Ixtepeji,Oaxaca,"Santa Catarina Ixtepeji , Oaxaca"
San Miguel Yotao,Oaxaca,"San Miguel Yotao , Oaxaca"
Santa Catarina Lachatao,Oaxaca,"Santa Catarina Lachatao , Oaxaca"
San Miguel Amatlán,Oaxaca,"San Miguel Amatlán , Oaxaca"
Santa María Yavesía,Oaxaca,"Santa María Yavesía , Oaxaca"
Santiago Laxopa,Oaxaca,"Santiago Laxopa , Oaxaca"
San Ildefonso Villa Alta,Oaxaca,"San Ildefonso Villa Alta , Oaxaca"
Santiago Camotlán,Oaxaca,"Santiago Camotlán , Oaxaca"
San Juan Yaeé,Oaxaca,"San Juan Yaeé , Oaxaca"
Santiago Lalopa,Oaxaca,"Santiago Lalopa , Oaxaca"
San Juan Yatzona,Oaxaca,"San Juan Yatzona , Oaxaca"
Villa Talea de Castro,Oaxaca,"Villa Talea de Castro , Oaxaca"
Tanetze de Zaragoza,Oaxaca,"Tanetze de Zaragoza , Oaxaca"
San Juan Juquila Vijanos,Oaxaca,"San Juan Juquila Vijanos , Oaxaca"
San Cristóbal Lachirioag,Oaxaca,"San Cristóbal Lachirioag , Oaxaca"
Santa María Temaxcalapa,Oaxaca,"Santa María Temaxcalapa , Oaxaca"
Santo Domingo Roayaga,Oaxaca,"Santo Domingo Roayaga , Oaxaca"
Santa María Yalina,Oaxaca,"Santa María Yalina , Oaxaca"
San Andrés Solaga,Oaxaca,"San Andrés Solaga , Oaxaca"
San Juan Tabaá,Oaxaca,"San Juan Tabaá , Oaxaca"
San Melchor Betaza,Oaxaca,"San Melchor Betaza , Oaxaca"
San Andrés Yaá,Oaxaca,"San Andrés Yaá , Oaxaca"
San Bartolomé Zoogocho,Oaxaca,"San Bartolomé Zoogocho , Oaxaca"
San Baltazar Yatzachi el Bajo,Oaxaca,"San Baltazar Yatzachi el Bajo , Oaxaca"
Santiago Zoochila,Oaxaca,"Santiago Zoochila , Oaxaca"
Villa Hidalgo,Oaxaca,"Villa Hidalgo , Oaxaca"
San Francisco Cajonos,Oaxaca,"San Francisco Cajonos , Oaxaca"
San Mateo Cajonos,Oaxaca,"San Mateo Cajonos , Oaxaca"
San Pedro Cajonos,Oaxaca,"San Pedro Cajonos , Oaxaca"
Santo Domingo Xagacía,Oaxaca,"Santo Domingo Xagacía , Oaxaca"
San Pablo Yaganiza,Oaxaca,"San Pablo Yaganiza , Oaxaca"
Santiago Choápam,Oaxaca,"Santiago Choápam , Oaxaca"
Santiago Jocotepec,Oaxaca,"Santiago Jocotepec , Oaxaca"
San Juan Lalana,Oaxaca,"San Juan Lalana , Oaxaca"
Santiago Yaveo,Oaxaca,"Santiago Yaveo , Oaxaca"
San Juan Petlapa,Oaxaca,"San Juan Petlapa , Oaxaca"
San Juan Comaltepec,Oaxaca,"San Juan Comaltepec , Oaxaca"
Heroica Ciudad de Huajuapan de León,Oaxaca,"Heroica Ciudad de Huajuapan de León , Oaxaca"
Santiago Chazumba,Oaxaca,"Santiago Chazumba , Oaxaca"
Cosoltepec,Oaxaca,"Cosoltepec , Oaxaca"
San Pedro y San Pablo Tequixtepec,Oaxaca,"San Pedro y San Pablo Tequixtepec , Oaxaca"
San Juan Bautista Suchitepec,Oaxaca,"San Juan Bautista Suchitepec , Oaxaca"
Santa Catarina Zapoquila,Oaxaca,"Santa Catarina Zapoquila , Oaxaca"
Santiago Miltepec,Oaxaca,"Santiago Miltepec , Oaxaca"
San Jerónimo Silacayoapilla,Oaxaca,"San Jerónimo Silacayoapilla , Oaxaca"
Zapotitlán Palmas,Oaxaca,"Zapotitlán Palmas , Oaxaca"
San Andrés Dinicuiti,Oaxaca,"San Andrés Dinicuiti , Oaxaca"
Santiago Cacaloxtepec,Oaxaca,"Santiago Cacaloxtepec , Oaxaca"
Asunción Cuyotepeji,Oaxaca,"Asunción Cuyotepeji , Oaxaca"
Santa María Camotlán,Oaxaca,"Santa María Camotlán , Oaxaca"
Santiago Huajolotitlán,Oaxaca,"Santiago Huajolotitlán , Oaxaca"
Santiago Tamazola,Oaxaca,"Santiago Tamazola , Oaxaca"
San Juan Cieneguilla,Oaxaca,"San Juan Cieneguilla , Oaxaca"
Zapotitlán Lagunas,Oaxaca,"Zapotitlán Lagunas , Oaxaca"
San Juan Ihualtepec,Oaxaca,"San Juan Ihualtepec , Oaxaca"
San Nicolás Hidalgo,Oaxaca,"San Nicolás Hidalgo , Oaxaca"
Guadalupe de Ramírez,Oaxaca,"Guadalupe de Ramírez , Oaxaca"
San Andrés Tepetlapa,Oaxaca,"San Andrés Tepetlapa , Oaxaca"
San Miguel Ahuehuetitlán,Oaxaca,"San Miguel Ahuehuetitlán , Oaxaca"
San Mateo Nejápam,Oaxaca,"San Mateo Nejápam , Oaxaca"
San Juan Bautista Tlachichilco,Oaxaca,"San Juan Bautista Tlachichilco , Oaxaca"
Tezoatlán de Segura y Luna,Oaxaca,"Tezoatlán de Segura y Luna , Oaxaca"
Fresnillo de Trujano,Oaxaca,"Fresnillo de Trujano , Oaxaca"
Santiago Ayuquililla,Oaxaca,"Santiago Ayuquililla , Oaxaca"
San José Ayuquila,Oaxaca,"San José Ayuquila , Oaxaca"
San Martín Zacatepec,Oaxaca,"San Martín Zacatepec , Oaxaca"
San Miguel Amatitlán,Oaxaca,"San Miguel Amatitlán , Oaxaca"
Mariscala de Juárez,Oaxaca,"Mariscala de Juárez , Oaxaca"
Santa Cruz Tacache de Mina,Oaxaca,"Santa Cruz Tacache de Mina , Oaxaca"
San Simón Zahuatlán,Oaxaca,"San Simón Zahuatlán , Oaxaca"
San Marcos Arteaga,Oaxaca,"San Marcos Arteaga , Oaxaca"
San Jorge Nuchita,Oaxaca,"San Jorge Nuchita , Oaxaca"
Santos Reyes Yucuná,Oaxaca,"Santos Reyes Yucuná , Oaxaca"
Santo Domingo Tonalá,Oaxaca,"Santo Domingo Tonalá , Oaxaca"
Santo Domingo Yodohino,Oaxaca,"Santo Domingo Yodohino , Oaxaca"
San Juan Bautista Coixtlahuaca,Oaxaca,"San Juan Bautista Coixtlahuaca , Oaxaca"
Tepelmeme Villa de Morelos,Oaxaca,"Tepelmeme Villa de Morelos , Oaxaca"
Concepción Buenavista,Oaxaca,"Concepción Buenavista , Oaxaca"
Santiago Ihuitlán Plumas,Oaxaca,"Santiago Ihuitlán Plumas , Oaxaca"
Tlacotepec Plumas,Oaxaca,"Tlacotepec Plumas , Oaxaca"
San Francisco Teopan,Oaxaca,"San Francisco Teopan , Oaxaca"
Santa Magdalena Jicotlán,Oaxaca,"Santa Magdalena Jicotlán , Oaxaca"
San Mateo Tlapiltepec,Oaxaca,"San Mateo Tlapiltepec , Oaxaca"
San Miguel Tequixtepec,Oaxaca,"San Miguel Tequixtepec , Oaxaca"
San Miguel Tulancingo,Oaxaca,"San Miguel Tulancingo , Oaxaca"
Santiago Tepetlapa,Oaxaca,"Santiago Tepetlapa , Oaxaca"
San Cristóbal Suchixtlahuaca,Oaxaca,"San Cristóbal Suchixtlahuaca , Oaxaca"
Santa María Nativitas,Oaxaca,"Santa María Nativitas , Oaxaca"
Silacayoápam,Oaxaca,"Silacayoápam , Oaxaca"
Santiago Yucuyachi,Oaxaca,"Santiago Yucuyachi , Oaxaca"
San Lorenzo Victoria,Oaxaca,"San Lorenzo Victoria , Oaxaca"
San Agustín Atenango,Oaxaca,"San Agustín Atenango , Oaxaca"
Calihualá,Oaxaca,"Calihualá , Oaxaca"
Santa Cruz de Bravo,Oaxaca,"Santa Cruz de Bravo , Oaxaca"
Ixpantepec Nieves,Oaxaca,"Ixpantepec Nieves , Oaxaca"
San Francisco Tlapancingo,Oaxaca,"San Francisco Tlapancingo , Oaxaca"
Santiago del Río,Oaxaca,"Santiago del Río , Oaxaca"
San Pedro y San Pablo Teposcolula,Oaxaca,"San Pedro y San Pablo Teposcolula , Oaxaca"
La Trinidad Vista Hermosa,Oaxaca,"La Trinidad Vista Hermosa , Oaxaca"
Villa de Tamazulápam del Progreso,Oaxaca,"Villa de Tamazulápam del Progreso , Oaxaca"
San Pedro Nopala,Oaxaca,"San Pedro Nopala , Oaxaca"
Teotongo,Oaxaca,"Teotongo , Oaxaca"
San Antonio Acutla,Oaxaca,"San Antonio Acutla , Oaxaca"
Villa Tejúpam de la Unión,Oaxaca,"Villa Tejúpam de la Unión , Oaxaca"
Santo Domingo Tonaltepec,Oaxaca,"Santo Domingo Tonaltepec , Oaxaca"
Villa de Chilapa de Díaz,Oaxaca,"Villa de Chilapa de Díaz , Oaxaca"
San Antonino Monte Verde,Oaxaca,"San Antonino Monte Verde , Oaxaca"
San Andrés Lagunas,Oaxaca,"San Andrés Lagunas , Oaxaca"
San Pedro Yucunama,Oaxaca,"San Pedro Yucunama , Oaxaca"
San Juan Teposcolula,Oaxaca,"San Juan Teposcolula , Oaxaca"
San Bartolo Soyaltepec,Oaxaca,"San Bartolo Soyaltepec , Oaxaca"
Santiago Yolomécatl,Oaxaca,"Santiago Yolomécatl , Oaxaca"
San Sebastián Nicananduta,Oaxaca,"San Sebastián Nicananduta , Oaxaca"
Santo Domingo Tlatayápam,Oaxaca,"Santo Domingo Tlatayápam , Oaxaca"
Santa María Nduayaco,Oaxaca,"Santa María Nduayaco , Oaxaca"
San Vicente Nuñú,Oaxaca,"San Vicente Nuñú , Oaxaca"
San Pedro Topiltepec,Oaxaca,"San Pedro Topiltepec , Oaxaca"
Santiago Nejapilla,Oaxaca,"Santiago Nejapilla , Oaxaca"
Asunción Nochixtlán,Oaxaca,"Asunción Nochixtlán , Oaxaca"
San Miguel Huautla,Oaxaca,"San Miguel Huautla , Oaxaca"
San Miguel Chicahua,Oaxaca,"San Miguel Chicahua , Oaxaca"
Santa María Apazco,Oaxaca,"Santa María Apazco , Oaxaca"
Santiago Apoala,Oaxaca,"Santiago Apoala , Oaxaca"
Santa María Chachoápam,Oaxaca,"Santa María Chachoápam , Oaxaca"
San Pedro Coxcaltepec Cántaros,Oaxaca,"San Pedro Coxcaltepec Cántaros , Oaxaca"
Santiago Huauclilla,Oaxaca,"Santiago Huauclilla , Oaxaca"
Santo Domingo Yanhuitlán,Oaxaca,"Santo Domingo Yanhuitlán , Oaxaca"
San Andrés Sinaxtla,Oaxaca,"San Andrés Sinaxtla , Oaxaca"
San Juan Yucuita,Oaxaca,"San Juan Yucuita , Oaxaca"
San Juan Sayultepec,Oaxaca,"San Juan Sayultepec , Oaxaca"
Santiago Tillo,Oaxaca,"Santiago Tillo , Oaxaca"
San Francisco Chindúa,Oaxaca,"San Francisco Chindúa , Oaxaca"
San Mateo Etlatongo,Oaxaca,"San Mateo Etlatongo , Oaxaca"
Santa Inés de Zaragoza,Oaxaca,"Santa Inés de Zaragoza , Oaxaca"
Santiago Juxtlahuaca,Oaxaca,"Santiago Juxtlahuaca , Oaxaca"
San Miguel Tlacotepec,Oaxaca,"San Miguel Tlacotepec , Oaxaca"
San Sebastián Tecomaxtlahuaca,Oaxaca,"San Sebastián Tecomaxtlahuaca , Oaxaca"
Santos Reyes Tepejillo,Oaxaca,"Santos Reyes Tepejillo , Oaxaca"
San Juan Mixtepec -Dto. 08 -,Oaxaca,"San Juan Mixtepec -Dto. 08 - , Oaxaca"
San Martín Peras,Oaxaca,"San Martín Peras , Oaxaca"
Coicoyán de las Flores,Oaxaca,"Coicoyán de las Flores , Oaxaca"
Heroica Ciudad de Tlaxiaco,Oaxaca,"Heroica Ciudad de Tlaxiaco , Oaxaca"
San Juan Ñumí,Oaxaca,"San Juan Ñumí , Oaxaca"
San Pedro Mártir Yucuxaco,Oaxaca,"San Pedro Mártir Yucuxaco , Oaxaca"
San Martín Huamelúlpam,Oaxaca,"San Martín Huamelúlpam , Oaxaca"
Santa Cruz Tayata,Oaxaca,"Santa Cruz Tayata , Oaxaca"
Santiago Nundiche,Oaxaca,"Santiago Nundiche , Oaxaca"
Santa María del Rosario,Oaxaca,"Santa María del Rosario , Oaxaca"
San Juan Achiutla,Oaxaca,"San Juan Achiutla , Oaxaca"
Santa Catarina Tayata,Oaxaca,"Santa Catarina Tayata , Oaxaca"
San Cristóbal Amoltepec,Oaxaca,"San Cristóbal Amoltepec , Oaxaca"
San Miguel Achiutla,Oaxaca,"San Miguel Achiutla , Oaxaca"
San Martín Itunyoso,Oaxaca,"San Martín Itunyoso , Oaxaca"
